Gene symbol	MDA-MB-231
TNFSF11	0
FAM216B	0
LINC01050	0
LINC00428	0
EPSTI1	37
DNAJC15	313
LINC00400	0
ENOX1	44
ENOX1-AS2	0
CCDC122	57
LACC1	62
LINC00284	0
SMIM2-AS1	1
SMIM2	0
SMIM2-IT1	0
SERP2	0
TUSC8	2
TSC22D1	1055
TSC22D1-AS1	2
LINC00330	0
NUFIP1	129
GPALPP1	43
LOC101929259	4
GTF2F2	521
KCTD4	7
TPT1	10214
SNORA31	3
TPT1-AS1	173
SLC25A30	86
SLC25A30-AS1	0
COG3	112
ERICH6B	0
LINC01055	0
SPERT	0
SIAH3	0
ZC3H13	547
CPB2-AS1	7
CPB2	0
LCP1	48
LRRC63	0
LINC00563	0
KIAA0226L	0
LINC01198	0
LRCH1	172
ESD	312
HTR2A	0
HTR2A-AS1	0
LINC00562	30
SUCLA2	43
NUDT15	353
MED4	660
MED4-AS1	11
ITM2B	513
LINC00441	1
RB1	386
LPAR6	20
RCBTB2	3
LINC00462	0
CYSLTR2	0
FNDC3A	114
MLNR	0
CDADC1	137
CAB39L	63
SETDB2	36
PHF11	153
RCBTB1	49
ARL11	0
EBPL	284
KPNA3	231
CTAGE10P	2
SPRYD7	478
DLEU2	48
TRIM13	633
KCNRG	3
DLEU1	72
ST13P4	69
DLEU1-AS1	0
DLEU7	0
DLEU7-AS1	0
RNASEH2B-AS1	1
RNASEH2B	257
GUCY1B2	0
LINC00371	0
FAM124A	14
SERPINE3	1
INTS6	143
INTS6-AS1	11
WDFY2	57
DHRS12	51
LINC00282	0
CCDC70	0
ATP7B	15
ALG11	160
UTP14C	14
NEK5	0
LOC101929657	16
NEK3	39
MRPS31P5	66
LOC103191607	0
THSD1	25
VPS36	138
CKAP2	381
TPTE2P3	0
HNRNPA1L2	200
SUGT1	838
LECT1	0
PCDH8	0
OLFM4	0
LINC01065	0
LINC00558	0
LINC00458	0
PRR20E	0
PRR20A	0
PRR20B	0
PRR20C	0
PRR20D	0
PCDH17	0
LOC101926897	0
DIAPH3	416
DIAPH3-AS1	2
DIAPH3-AS2	0
LINC00434	0
TDRD3	149
LINC00378	0
PCDH20	1
LINC00358	0
LINC01075	0
LINC00448	0
LINC00376	0
LINC00395	0
OR7E156P	0
LOC102723968	0
PCDH9	5
PCDH9-AS2	0
PCDH9-AS3	0
PCDH9-AS4	0
LINC00364	0
LINC00550	0
LINC00383	0
KLHL1	0
ATXN8OS	5
LINC00348	0
DACH1	2
MZT1	460
BORA	341
DIS3	970
PIBF1	29
KLF5	304
LINC00392	0
KLF12	73
LINC00381	0
LINC00347	0
CTAGE11P	0
TBC1D4	217
COMMD6	1900
UCHL3	305
LMO7-AS1	19
LMO7	725
LMO7DN	2
LMO7DN-IT1	0
KCTD12	152
BTF3P11	7
IRG1	0
CLN5	80
FBXL3	113
MYCBP2	516
MYCBP2-AS1	31
SCEL	4
SCEL-AS1	0
LOC100129307	0
SLAIN1	30
EDNRB-AS1	7
EDNRB	6
LINC01069	0
LINC00446	0
RNF219-AS1	6
POU4F1	0
RNF219	201
LINC00331	0
RBM26	567
RBM26-AS1	15
NDFIP2-AS1	0
NDFIP2	250
LINC01068	0
LINC01038	0
LINC00382	0
LINC01080	0
SPRY2	511
LINC00377	0
LINC00564	0
SLITRK1	0
LINC00333	0
LINC00375	0
LINC00351	0
SLITRK6	3
SLITRK5	9
LINC00397	0
LOC105370306	0
LINC00433	0
LINC01047	0
LINC00440	0
LINC01040	0
LINC00353	0
LINC00559	0
LINC01049	0
LINC00410	1
LINC00380	1
LINC00379	0
GPC5	0
GPC5-AS2	0
GPC5-AS1	0
LINC00363	0
GPC6	83
GPC6-AS2	0
GPC6-AS1	2
DCT	0
TGDS	22
GPR180	141
LOC101927248	0
SOX21	0
SOX21-AS1	2
LOC101927284	2
LINC00557	1
ABCC4	161
CLDN10	0
CLDN10-AS1	0
DZIP1	18
DNAJC3-AS1	26
DNAJC3	436
UGGT2	119
HS6ST3	5
LINC00359	0
OXGR1	0
LINC00456	0
MBNL2	105
RAP2A	198
IPO5	823
FARP1	145
RNF113B	0
STK24	778
SLC15A1	0
DOCK9	375
DOCK9-AS1	0
DOCK9-AS2	2
UBAC2-AS1	6
UBAC2	400
GPR18	11
GPR183	1
FKSG29	0
LINC01232	10
TM9SF2	1320
LINC01039	1
CLYBL	6
CLYBL-AS2	0
CLYBL-AS1	0
LOC101927437	1
ZIC5	0
ZIC2	139
LINC00554	0
PCCA	23
PCCA-AS1	0
GGACT	18
TMTC4	87
NALCN-AS1	3
LINC00411	0
NALCN	29
ITGBL1	27
FGF14	2
FGF14-IT1	0
FGF14-AS1	0
FGF14-AS2	4
TPP2	178
METTL21C	0
CCDC168	1
TEX30	270
KDELC1	22
BIVM	442
BIVM-ERCC5	353
ERCC5	0
METTL21EP	1
SLC10A2	0
LINC01309	0
DAOA-AS1	0
DAOA	0
LINC00343	0
LINC00460	2
EFNB2	574
ARGLU1	654
LINC00551	0
LINC00443	0
FAM155A	91
FAM155A-IT1	28
LIG4	53
ABHD13	75
TNFSF13B	28
MYO16	8
MYO16-AS1	0
LINC00399	0
LINC00676	1
IRS2	1390
LINC00396	0
COL4A1	104
COL4A2	813
COL4A2-AS1	5
RAB20	53
CARKD	202
CARS2	316
ING1	120
LINC00346	15
ANKRD10	341
LINC00431	0
LINC00368	2
ARHGEF7-AS2	0
ARHGEF7	151
ARHGEF7-AS1	0
LOC101060553	0
TEX29	4
LINC00354	0
LINC00403	0
SOX1	0
LINC01070	0
LOC101928730	0
LINC01044	0
SPACA7	0
TUBGCP3	2022
ATP11AUN	0
ATP11A	137
ATP11A-AS1	3
MCF2L-AS1	0
MCF2L	1
F7	2
F10	0
F10-AS1	0
PROZ	5
PCID2	309
CUL4A	648
LAMP1	2355
GRTP1	3
GRTP1-AS1	0
LOC101928841	54
ADPRHL1	42
DCUN1D2	54
TMCO3	98
TFDP1	468
ATP4B	0
GRK1	0
LINC00552	0
TMEM255B	4
GAS6-AS1	7
GAS6	1801
GAS6-AS2	20
LINC00452	2
LINC00565	0
RASA3	738
CDC16	210
UPF3A	324
CHAMP1	252
LINC01054	0
OR11H12	0
LOC642426	0
POTEG	0
LOC101929572	0
POTEH-AS1	0
DUXAP10	1
LINC01296	25
BMS1P18	0
BMS1P17	0
POTEM	12
LOC100508046	1
OR11H2	0
OR4Q3	0
OR4M1	0
OR4N2	0
OR4K2	0
OR4K5	0
OR4K1	0
OR4K15	0
OR4K14	0
OR4K13	0
OR4L1	0
OR4K17	0
OR4N5	0
OR11G2	0
OR11H6	0
OR11H4	1
TTC5	160
CCNB1IP1	181
SNORD126	0
RPPH1	257
PARP2	339
TEP1	58
KLHL33	0
OSGEP	184
APEX1	364
TMEM55B	765
PNP	597
RNASE10	0
RNASE9	0
RNASE11	0
LOC254028	0
RNASE12	0
OR6S1	0
ANG	0
RNASE4	61
EDDM3A	0
EDDM3B	0
RNASE6	0
RNASE1	0
RNASE3	0
ECRP	0
RNASE2	0
METTL17	426
LOC101929718	412
SLC39A2	0
NDRG2	6
TPPP2	0
RNASE13	1
RNASE7	0
RNASE8	0
ARHGEF40	355
ZNF219	220
TMEM253	3
OR5AU1	0
LINC00641	92
HNRNPC	2820
RPGRIP1	7
SUPT16H	3250
CHD8	501
SNORD9	0
SNORD8	7
RAB2B	266
TOX4	831
METTL3	191
SALL2	7
OR10G3	0
OR10G2	0
OR4E2	0
DAD1	763
ABHD4	242
OXA1L	521
SLC7A7	46
MRPL52	789
MMP14	907
LRP10	739
REM2	10
RBM23	155
PRMT5-AS1	884
PRMT5	883
LOC101926933	0
HAUS4	353
AJUBA	990
C14orf93	34
PSMB5	2080
PSMB11	0
CDH24	40
ACIN1	1370
C14orf119	576
CEBPE	0
SLC7A8	0
RNF212B	2
HOMEZ	7
PPP1R3E	67
BCL2L2	83
BCL2L2-PABPN1	3787
PABPN1	1
SLC22A17	0
EFS	0
IL25	0
CMTM5	0
MYH6	0
MYH7	0
MHRT	0
NGDN	1060
THTPA	37
ZFHX2	64
AP1G2	76
LOC102724814	5
JPH4	4
DHRS2	72
DHRS4-AS1	20
DHRS4	275
DHRS4L2	296
DHRS4L1	75
LRRC16B	1
CPNE6	0
NRL	11
PCK2	105
DCAF11	361
FITM1	1
PSME1	1244
EMC9	194
PSME2	818
RNF31	76
IRF9	36
REC8	134
IPO4	286
TM9SF1	445
TSSK4	0
CHMP4A	124
MDP1	229
NEDD8-MDP1	185
NEDD8	4549
GMPR2	463
TINF2	276
TGM1	10
RABGGTA	99
DHRS1	908
NOP9	263
CIDEB	12
LTB4R2	6
LTB4R	713
ADCY4	0
RIPK3	0
NFATC4	7
NYNRIN	4
CBLN3	6
KHNYN	469
SDR39U1	222
LOC101927045	0
CMA1	0
CTSG	0
GZMH	0
GZMB	0
STXBP6	4
NOVA1	0
LOC101927062	0
LOC102724890	0
LOC101927081	0
LINC00645	0
FOXG1-AS1	0
FOXG1	0
LINC01551	1
PRKD1	0
G2E3	244
SCFD1	491
COCH	5
LOC100506071	0
STRN3	760
AP4S1	72
HECTD1	727
HEATR5A	121
LOC101927124	4
DTD2	163
GPR33	0
NUBPL	322
ARHGAP5-AS1	72
ARHGAP5	870
RNU6-2	13
AKAP6	1
NPAS3	2
EGLN3	75
SPTSSA	568
EAPP	442
SNX6	497
CFL2	367
BAZ1A	721
IGBP1P1	44
SRP54	549
FAM177A1	698
LOC101927178	57
PPP2R3C	1268
KIAA0391	128
PSMA6	846
NFKBIA	4347
INSM2	0
RALGAPA1	211
RALGAPA1P	5
BRMS1L	72
LINC00609	0
PTCSC3	0
MBIP	49
SFTA3	0
NKX2-1	5
NKX2-1-AS1	0
NKX2-8	0
PAX9	5
SLC25A21	5
SLC25A21-AS1	19
MIPOL1	21
FOXA1	11
TTC6	0
SSTR1	0
CLEC14A	0
LINC00639	0
SEC23A	435
GEMIN2	67
TRAPPC6B	458
PNN	1341
MIA2	8
CTAGE5	533
LOC100288846	1
FBXO33	209
LOC644919	0
LRFN5	0
FSCB	0
C14orf28	24
LOC101927418	0
KLHL28	120
FAM179B	98
PRPF39	217
SNORD127	0
FKBP3	983
FANCM	37
MIS18BP1	479
LINC00871	0
RPL10L	0
MDGA2	0
LINC00648	0
RPS29	26811
LRR1	1903
RPL36AL	5997
MGAT2	258
DNAAF2	61
POLE2	170
KLHDC1	14
KLHDC2	475
NEMF	756
ARF6	1876
LINC01588	186
LINC01599	5
VCPKMT	67
SOS2	302
L2HGDH	327
ATP5S	83
CDKL1	11
MAP4K5	918
ATL1	87
SAV1	548
NIN	585
ABHD12B	6
PYGL	1975
TRIM9	0
TMX1	574
LINC00640	0
FRMD6-AS2	8
FRMD6	429
FRMD6-AS1	60
GNG2	82
LOC102723604	4
C14orf166	2313
NID2	2
PTGDR	0
PTGER2	4
TXNDC16	21
GPR137C	13
ERO1A	1726
PSMC6	890
STYX	141
GNPNAT1	807
FERMT2	1217
DDHD1	186
LOC101927620	3
BMP4	2465
CDKN3	665
CNIH1	1033
GMFB	633
CGRRF1	73
SAMD4A	146
GCH1	88
WDHD1	311
SOCS4	137
MAPK1IP1L	1127
LGALS3	588
DLGAP5	941
FBXO34	9
ATG14	139
TBPL2	0
KTN1-AS1	14
KTN1	3109
RPL13AP3	162
LINC00520	6
PELI2	15
TMEM260	36
OTX2	0
OTX2-AS1	1
EXOC5	478
AP5M1	128
NAA30	209
C14orf105	0
SLC35F4	0
C14orf37	12
ACTR10	1248
PSMA3	1207
PSMA3-AS1	392
ARID4A	597
TOMM20L	62
TIMM9	991
KIAA0586	137
DACT1	0
LINC01500	0
DAAM1	431
GPR135	2
L3HYPDH	150
JKAMP	571
CCDC175	37
RTN1	5
LRRC9	0
PCNXL4	389
DHRS7	387
PPM1A	613
C14orf39	1
SIX6	0
SALRNA1	23
SIX1	843
SIX4	415
MNAT1	484
TRMT5	426
SLC38A6	260
TMEM30B	3
PRKCH	30
LOC101927780	31
FLJ22447	57
HIF1A-AS1	33
HIF1A	1039
HIF1A-AS2	802
SNAPC1	1460
SYT16	0
LINC00643	3
LINC00644	0
KCNH5	0
RHOJ	5
GPHB5	0
PPP2R5E	1090
WDR89	281
SGPP1	284
SYNE2	888
ESR2	1
TEX21P	0
MTHFD1	397
ZBTB25	32
AKAP5	11
ZBTB1	36
LOC102723809	0
HSPA2	12
PPP1R36	0
PLEKHG3	201
SPTB	80
CHURC1	531
CHURC1-FNTB	20
GPX2	4
RAB15	91
FNTB	261
MAX	1102
LOC100506321	23
LOC100128233	2
FUT8	227
FUT8-AS1	14
LINC00238	0
GPHN	59
FAM71D	7
MPP5	613
ATP6V1D	625
EIF2S1	1275
PLEK2	100
TMEM229B	27
PLEKHH1	58
PIGH	77
ARG2	1002
VTI1B	999
RDH11	2079
RDH12	0
ZFYVE26	52
RAD51B	19
ZFP36L1	4413
ACTN1	8675
ACTN1-AS1	0
DCAF5	822
EXD2	30
GALNT16	1
ERH	17257
SLC39A9	1318
PLEKHD1	0
CCDC177	0
SUSD6	214
LOC100289511	3
SRSF5	1940
SLC10A1	0
SMOC1	2
SLC8A3	0
ADAM21P1	0
SYNJ2BP-COX16	768
COX16	692
SYNJ2BP	191
ADAM21	0
ADAM20P1	3
ADAM20	0
MED6	10
LOC101928075	3
TTC9	127
LINC01269	2
MAP3K9	116
PCNX	456
SNORD56B	0
LOC145474	13
SIPA1L1	425
RGS6	0
DPF3	175
DCAF4	295
ZFYVE1	344
RBM25	3068
PSEN1	472
PAPLN	17
NUMB	346
HEATR4	4
C14orf169	1180
ACOT1	121
ACOT2	309
ACOT4	29
ACOT6	4
DNAL1	168
PNMA1	551
ELMSAN1	327
LOC100506476	7
PTGR2	108
ZNF410	216
FAM161B	14
COQ6	189
ENTPD5	38
CCDC176	63
ALDH6A1	287
LIN52	88
VSX2	0
ABCD4	228
VRTN	1
SYNDIG1L	0
NPC2	3677
ISCA2	290
LTBP2	237
AREL1	366
FCF1	415
YLPM1	642
PROX2	1
DLST	384
RPS6KL1	26
PGF	63
EIF2B2	379
MLH3	214
ACYP1	222
ZC2HC1C	22
NEK9	486
TMED10	2420
FOS	30
LINC01220	2
JDP2	101
BATF	79
LOC102724153	0
FLVCR2	28
C14orf1	304
TTLL5	183
TGFB3	28
IFT43	90
GPATCH2L	315
RNU6-31P	0
ESRRB	0
VASH1	55
LOC100506603	44
ANGEL1	23
LRRC74A	0
IRF2BPL	1039
LOC283575	0
LOC102724190	0
CIPC	105
ZDHHC22	0
TMEM63C	0
NGB	0
POMT2	612
GSTZ1	1150
TMED8	82
SAMD15	0
NOXRED1	0
VIPAS39	96
AHSA1	4992
ISM2	0
SPTLC2	1857
ALKBH1	29
SLIRP	8967
SNW1	1136
C14orf178	6
ADCK1	13
NRXN3	0
DIO2	42
DIO2-AS1	2
CEP128	46
TSHR	2
GTF2A1	821
SNORA79	82
STON2	0
LOC100506700	0
SEL1L	599
LINC01467	0
LINC00911	0
FLRT2	61
LOC101928767	0
LOC283585	0
GALC	360
GPR65	2
LOC101928791	0
LINC01146	0
KCNK10	1
SPATA7	28
PTPN21	135
ZC3H14	592
EML5	19
TTC8	619
FOXN3	849
FOXN3-AS1	18
FOXN3-AS2	0
EFCAB11	145
TDP1	866
KCNK13	0
PSMC1	1332
NRDE2	154
CALM1	4882
LINC00642	0
TTC7B	134
LOC101928909	10
RPS6KA5	113
C14orf159	82
SNORA11B	4
GPR68	164
CCDC88C	424
PPP4R3A	670
CATSPERB	0
TC2N	12
FBLN5	0
TRIP11	252
ATXN3	310
NDUFB1	1660
CPSF2	525
SLC24A4	2
RIN3	78
LGMN	360
GOLGA5	312
CHGA	0
ITPK1	501
ITPK1-AS1	8
MOAP1	149
TMEM251	171
C14orf142	238
UBR7	591
BTBD7	755
UNC79	8
COX8C	0
PRIMA1	0
FAM181A-AS1	0
FAM181A	0
ASB2	532
LINC00521	0
OTUB2	1016
DDX24	1915
IFI27L1	372
IFI27	666
IFI27L2	620
PPP4R4	38
SERPINA10	0
SERPINA6	0
SERPINA2	1
SERPINA1	43
SERPINA11	0
SERPINA9	0
SERPINA12	0
SERPINA4	0
SERPINA5	15
SERPINA3	11
SERPINA13P	0
GSC	0
DICER1	392
DICER1-AS1	20
CLMN	137
LOC101929080	1
LINC00341	101
SYNE3	15
SNHG10	53
SCARNA13	16
GLRX5	1668
TCL6	0
TCL1B	0
TCL1A	0
TUNAR	0
C14orf132	0
BDKRB2	0
BDKRB1	0
ATG2B	223
GSKIP	176
AK7	0
LOC730202	2
PAPOLA	836
VRK1	600
LINC00618	14
LOC101929241	0
LOC100129345	0
LINC01550	0
C14orf177	0
BCL11B	0
SETD3	898
CCNK	320
CCDC85C	592
HHIPL1	0
CYP46A1	0
EML1	17
EVL	124
DEGS2	0
YY1	605
SLC25A29	427
SLC25A47	0
WARS	556
WDR25	102
BEGAIN	0
LINC00523	0
DLK1	0
MEG3	0
RTL1	0
MEG8	0
SNORD113-1	0
SNORD113-2	0
SNORD113-4	0
SNORD113-5	0
SNORD113-6	0
SNORD113-7	0
SNORD113-9	0
SNORD114-1	0
SNORD114-2	0
SNORD114-3	0
SNORD114-4	0
SNORD114-5	0
SNORD114-6	0
SNORD114-7	0
SNORD114-8	0
SNORD114-9	0
SNORD114-10	0
SNHG24	0
SNORD114-11	0
SNORD114-12	0
SNORD114-13	0
SNORD114-14	0
SNORD114-15	0
SNORD114-16	0
SNORD114-17	0
SNORD114-18	0
SNORD114-19	0
SNORD114-20	0
SNORD114-21	0
SNORD114-22	0
SNORD114-23	0
SNORD114-24	0
SNORD114-25	0
SNORD114-26	0
SNORD114-27	0
SNORD114-28	0
SNORD114-29	0
SNORD114-30	0
SNORD114-31	0
MEG9	0
LINC00524	3
DIO3OS	0
DIO3	0
LINC00239	5
PPP2R5C	289
DYNC1H1	15168
HSP90AA1	24717
WDR20	182
MOK	1127
ZNF839	347
CINP	276
TECPR2	317
ANKRD9	288
RCOR1	376
TRAF3	430
AMN	3
CDC42BPB	787
EXOC3L4	15
TNFAIP2	1681
LINC00605	0
EIF5	1019
SNORA28	0
MARK3	590
CKB	358
TRMT61A	150
BAG5	382
APOPT1	773
KLC1	1262
XRCC3	46
ZFYVE21	1185
PPP1R13B	50
LINC00637	0
C14orf2	3846
TDRD9	0
RD3L	0
ASPG	0
KIF26A	0
C14orf180	0
TMEM179	0
INF2	202
ADSSL1	1
SIVA1	4532
AKT1	1115
ZBTB42	72
LINC00638	20
CEP170B	384
PLD4	0
AHNAK2	523
C14orf79	11
CDCA4	805
GPR132	6
LOC102723354	6
JAG2	41
NUDT14	86
BRF1	244
BTBD6	270
PACS2	137
TEX22	3
LOC100507437	0
MTA1	1268
CRIP2	87
CRIP1	6
C14orf80	331
TMEM121	161
ELK2AP	0
KIAA0125	0
ADAM6	0
LINC00226	0
LINC00221	0
CHEK2P2	0
HERC2P3	8
GOLGA6L6	0
GOLGA8CP	3
NBEAP1	0
POTEB2	0
POTEB3	0
POTEB	0
NF1P2	0
LINC01193	0
LOC646214	152
CXADRP2	7
LOC101927079	0
LOC727924	0
OR4M2	0
OR4N4	0
OR4N3P	0
REREP3	64
GOLGA8DP	6
GOLGA6L1	0
GOLGA6L22	1
TUBGCP5	143
CYFIP1	189
NIPA2	379
NIPA1	180
LOC283683	7
WHAMMP3	34
GOLGA8IP	5
HERC2P2	164
HERC2P7	26
GOLGA8EP	2
GOLGA8S	4
GOLGA6L2	0
MKRN3	0
MAGEL2	0
NDN	0
PWRN4	0
PWRN2	0
PWRN3	0
PWRN1	0
NPAP1	1
SNRPN	0
SNURF	0
SNORD107	0
PWARSN	0
PWAR5	0
SNORD64	0
SNORD108	0
SNORD109A	0
SNORD109B	0
SNORD116-1	0
SNORD116-2	0
SNORD116-3	0
SNORD116-9	0
SNORD116-4	0
SNORD116-7	0
SNORD116-5	0
SNORD116-6	0
SNORD116-8	0
SNORD116-10	0
SNORD116-11	0
SNORD116-12	0
SNORD116-13	0
SNORD116-14	0
SNORD116-15	0
SNORD116-16	0
SNORD116-19	0
SNORD116-17	0
SNORD116-18	0
SNORD116-20	0
SNORD116-21	0
SNORD116-22	0
SNORD116-23	0
SNORD116-24	0
SNORD116-25	0
SNORD116-26	0
SNORD116-27	0
SNORD116-28	0
SNORD116-29	0
SNORD116-30	0
IPW	0
PWAR1	0
SNORD115-1	0
SNORD115-2	0
SNORD115-3	0
SNORD115-4	0
SNORD115-5	0
SNORD115-9	0
SNORD115-10	0
SNORD115-12	0
SNORD115-6	0
SNORD115-7	0
SNORD115-8	0
SNORD115-11	0
SNORD115-29	0
SNORD115-43	0
SNORD115-36	0
SNORD115-13	0
SNORD115-14	0
SNORD115-16	0
SNORD115-17	0
SNORD115-19	0
SNORD115-18	0
SNORD115-15	0
SNORD115-21	0
SNORD115-20	0
SNORD115-22	0
PWAR4	0
SNORD115-23	0
SNORD115-24	0
SNORD115-25	0
SNORD115-26	0
SNORD115-27	0
SNORD115-28	0
SNORD115-30	0
SNORD115-31	0
SNORD115-32	0
SNORD115-33	0
SNORD115-34	0
SNORD115-35	0
SNORD115-37	0
SNORD115-38	0
SNORD115-39	0
SNORD115-40	0
SNORD115-41	0
SNORD115-42	0
SNORD115-44	0
SNORD115-45	0
SNORD115-46	0
SNORD115-47	0
SNORD115-48	0
UBE3A	843
ATP10A	23
LOC100128714	1
LINC00929	0
GABRB3	0
GABRA5	0
GABRG3	0
GABRG3-AS1	0
OCA2	0
HERC2	319
GOLGA8F	1
GOLGA8G	6
HERC2P9	123
GOLGA8M	3
WHAMMP2	20
LOC100289656	0
PDCD6IPP2	31
GOLGA6L7P	0
APBA2	101
FAM189A1	0
NDNL2	78
TJP1	228
GOLGA8J	9
ULK4P3	11
GOLGA8T	0
DKFZP434L187	1
CHRFAM7A	11
GOLGA8R	5
ULK4P2	7
ULK4P1	0
GOLGA8H	10
ARHGAP11B	11
LOC100288637	71
HERC2P10	0
FAN1	63
MTMR10	118
TRPM1	0
LOC283710	0
KLF13	46
OTUD7A	0
CHRNA7	12
GOLGA8K	3
GOLGA8O	8
WHAMMP1	23
LOC100996255	11
GOLGA8N	12
ARHGAP11A	589
SCG5	73
GREM1	0
LOC100131315	0
FMN1	131
TMCO5B	0
LOC101928134	0
RYR3	3
AVEN	95
CHRM5	0
EMC7	377
PGBD4	9
KATNBL1	173
EMC4	492
SLC12A6	376
NOP10	1090
NUTM1	0
LPCAT4	39
GOLGA8A	21
GOLGA8B	318
GJD2	0
LOC101928174	0
ACTC1	3
AQR	93
ZNF770	1034
ANP32AP1	5
DPH6	20
DPH6-AS1	0
C15orf41	15
CSNK1A1P1	3
LOC145845	0
MEIS2	59
TMCO5A	0
LOC101928227	0
SPRED1	374
FAM98B	196
RASGRP1	2
C15orf53	0
C15orf54	2
THBS1	638
FSIP1	7
GPR176	186
EIF2AK4	730
SRP14	4050
SRP14-AS1	1
BMF	54
BUB1B	248
PAK6	1
C15orf56	0
ANKRD63	0
PLCB2	9
INAFM2	45
C15orf52	287
PHGR1	0
DISP2	23
KNSTRN	1271
IVD	692
BAHD1	143
CHST14	271
C15orf57	191
MRPL42P5	1
RPUSD2	243
CASC5	113
RAD51-AS1	43
RAD51	254
RMDN3	368
GCHFR	42
DNAJC17	7
C15orf62	2
ZFYVE19	236
PPP1R14D	1
SPINT1	5
RHOV	38
VPS18	236
DLL4	0
CHAC1	86
INO80	448
EXD1	0
CHP1	339
OIP5-AS1	322
OIP5	392
NUSAP1	1244
NDUFAF1	128
RTF1	1450
ITPKA	42
LTK	9
RPAP1	203
TYRO3	262
MGA	206
MAPKBP1	427
JMJD7	173
JMJD7-PLA2G4B	0
PLA2G4B	21
SPTBN5	2
EHD4	133
EHD4-AS1	1
PLA2G4E-AS1	1
PLA2G4E	1
PLA2G4D	15
PLA2G4F	0
VPS39	53
TMEM87A	1139
GANC	40
CAPN3	2
ZNF106	1044
SNAP23	202
LRRC57	51
HAUS2	289
STARD9	135
CDAN1	37
TTBK2	56
UBR1	184
TMEM62	44
CCNDBP1	157
EPB42	0
TGM5	1
TGM7	0
LCMT2	56
ADAL	80
ZSCAN29	199
TUBGCP4	157
RNU6-28P	0
TP53BP1	315
MAP1A	0
PPIP5K1	79
CKMT1B	1
STRC	0
CATSPER2	13
CKMT1A	0
CATSPER2P1	11
PDIA3	1483
ELL3	60
SERF2	12419
SERF2-C15ORF63	1570
SERINC4	21
HYPK	116
MFAP1	379
WDR76	393
FRMD5	165
PIN4P1	225
CASC4	121
CTDSPL2	252
EIF3J-AS1	60
EIF3J	1162
SPG11	103
PATL2	4
B2M	16283
LOC100419583	19
TRIM69	1
C15orf43	0
SORD	591
DUOX2	2
DUOXA2	0
DUOXA1	0
DUOX1	1
SHF	0
LOC101928414	0
SLC28A2	1
GATM	0
SPATA5L1	22
C15orf48	1651
SLC30A4	11
HMGN2P46	144
BLOC1S6	220
SQRDL	435
SEMA6D	8
LINC01491	0
SLC24A5	3
MYEF2	101
CTXN2	2
SLC12A1	0
DUT	1233
FBN1	47
CEP152	379
SHC4	4
EID1	1333
SECISBP2L	263
COPS2	190
GALK2	77
NDUFAF4P1	2
FAM227B	39
FGF7	1
DTWD1	110
ATP8B4	0
SLC27A2	5
HDC	0
GABPB1	109
FLJ10038	137
GABPB1-AS1	88
USP8	442
USP50	5
TRPM7	891
SPPL2A	81
AP4E1	115
DCAF13P3	37
TNFAIP8L3	5
CYP19A1	1
GLDN	7
DMXL2	113
SCG3	0
LYSMD2	112
TMOD2	11
TMOD3	372
LOC100422556	0
LEO1	171
MAPK6	263
BCL2L10	0
GNB5	419
LOC100129973	1
MYO5C	131
MYO5A	175
ARPP19	455
FAM214A	34
ONECUT1	0
WDR72	1
UNC13C	0
RSL24D1	561
RAB27A	215
PIGBOS1	58
PIGB	156
DYX1C1-CCPG1	194
CCPG1	173
C15orf65	12
DYX1C1	1
PYGO1	147
PRTG	57
NEDD4	103
RFX7	82
TEX9	3
MNS1	83
ZNF280D	51
LOC145783	7
TCF12	196
LINC00926	27
LINC01413	0
CGNL1	13
GCOM1	192
MYZAP	0
POLR2M	0
ALDH1A2	0
AQP9	0
LIPC	0
LOC101928694	0
ADAM10	465
HSP90AB4P	453
FAM63B	280
SLTM	1358
RNF111	88
CCNB2	784
MYO1E	236
LDHAL6B	0
FAM81A	19
GCNT3	1
GTF2A2	306
BNIP2	278
FOXB1	0
ANXA2	6137
ICE2	166
RORA-AS1	3
RORA	10
RORA-AS2	0
VPS13C	198
C2CD4A	1
C2CD4B	0
MGC15885	0
TLN2	111
TPM1	470
LACTB	304
RPS27L	1038
RAB8B	254
APH1B	89
CA12	135
LOC102723344	0
USP3	203
USP3-AS1	2
FBXL22	0
HERC1	170
DAPK2	27
LOC101928988	1
FAM96A	503
SNX1	1542
SNX22	452
PPIB	427
CSNK1G1	159
KIAA0101	1474
TRIP4	232
ZNF609	249
OAZ2	1522
RBPMS2	81
PIF1	333
PLEKHO2	77
ANKDD1A	13
SPG21	393
MTFMT	138
SLC51B	0
RASL12	0
KBTBD13	0
UBAP1L	4
PDCD7	301
CLPX	102
CILP	0
PARP16	45
IGDCC3	0
IGDCC4	123
DPP8	96
HACD3	975
VWA9	152
SLC24A1	68
DENND4A	81
RAB11A	1294
MEGF11	0
DIS3L	158
TIPIN	89
SCARNA14	8
MAP2K1	336
SNAPC5	4
RPL4	2437
SNORD18C	0
SNORD18B	0
SNORD16	0
SNORD18A	0
ZWILCH	821
LCTL	3
LINC01169	0
SMAD6	32
SMAD3	1455
AAGAB	532
IQCH	2
IQCH-AS1	40
C15orf61	285
MAP2K5	96
SKOR1	0
LOC101929076	2
RNU6-2	5
PIAS1	60
CALML4	92
CLN6	174
FEM1B	154
ITGA11	0
CORO2B	43
ANP32A	810
